ServiceNo,Operator,NextBus.OriginCode,NextBus.DestinationCode,NextBus.EstimatedArrival,NextBus.Latitude,NextBus.Longitude,NextBus.VisitNumber,NextBus.Load,NextBus.Feature,NextBus.Type,NextBus2.OriginCode,NextBus2.DestinationCode,NextBus2.EstimatedArrival,NextBus2.Latitude,NextBus2.Longitude,NextBus2.VisitNumber,NextBus2.Load,NextBus2.Feature,NextBus2.Type,NextBus3.OriginCode,NextBus3.DestinationCode,NextBus3.EstimatedArrival,NextBus3.Latitude,NextBus3.Longitude,NextBus3.VisitNumber,NextBus3.Load,NextBus3.Feature,NextBus3.Type,lat,long,BusStopCode,timestamp
97,TTS,28009,2089,2018-04-16T06:07:15+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:19:02+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:24:41+08:00,0,0,1,SEA,WAB,DD,1.311715151,103.7634618,17149,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:08:15+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:20:02+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:25:35+08:00,0,0,1,SEA,WAB,DD,1.309033047,103.76587,17139,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:09:30+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:21:17+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:26:31+08:00,0,0,1,SEA,WAB,DD,1.305141367,103.7698584,17129,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:11:23+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:23:10+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:28:10+08:00,0,0,1,SEA,WAB,DD,1.3006125,103.7781514,16099,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:12:52+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:24:39+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:29:15+08:00,0,0,1,SEA,WAB,DD,1.296481774,103.7845539,18079,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:06:06+08:00,1.295532833,103.7856443,1,SEA,WAB,DD,28009,2089,2018-04-16T06:14:41+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:26:28+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,1.294034366,103.786726,18109,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:07:35+08:00,1.295532833,103.7856443,1,SEA,WAB,DD,28009,2089,2018-04-16T06:16:10+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:27:57+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,1.290181477,103.7920809,18049,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:11:12+08:00,1.295532833,103.7856443,1,SEA,WAB,DD,28009,2089,2018-04-16T06:19:47+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:31:34+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,1.280910556,103.8025231,18019,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:12:19+08:00,1.295532833,103.7856443,1,SEA,WAB,DD,28009,2089,2018-04-16T06:20:54+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:32:41+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,1.276861944,103.8027011,15059,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:13:08+08:00,1.295532833,103.7856443,1,SEA,WAB,DD,28009,2089,2018-04-16T06:21:43+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:33:30+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,1.274590541,103.8021634,15049,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:14:28+08:00,1.295532833,103.7856443,1,SEA,WAB,DD,28009,2089,2018-04-16T06:23:03+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:34:50+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,1.272693033,103.8039836,14189,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:14:56+08:00,1.295532833,103.7856443,1,SEA,WAB,DD,28009,2089,2018-04-16T06:23:31+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:35:18+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,1.271884546,103.8063,14179,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:15:31+08:00,1.295532833,103.7856443,1,SEA,WAB,DD,28009,2089,2018-04-16T06:24:06+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:35:53+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,1.271185504,103.8094181,14169,16/4/2018 6:06
